specialty,hcpcs_desc,total_services,avg_medicare_payment,unique_providers
Internal Medicine,"New patient custodial care facility, group care, or assisted living visit, typically 1 hour",3624.0,139.6124340132549,102
Internal Medicine,Continuous monitoring of blood sugar level in tissue fluid using sensor under skin with interpretation and report,16431.0,27.705266411121944,164
Internal Medicine,"Manual urinalysis test with examination using microscope, automated",90625.0,3.126099278086875,640
Family Practice,Administration of vaccine,15675.0,11.2105912965914,767
Family Practice,Parathormone (parathyroid hormone) level,15948.0,40.6451660191223,139
Diagnostic Radiology,Ultrasound of leg arteries or artery grafts,43260.0,77.15896363279904,1143
Diagnostic Radiology,Mri scan of pelvis before and after contrast,101256.0,151.5197262910084,1464
Internal Medicine,Iron level,81492.0,6.377393353009972,692
Rheumatology,"X-ray of hand, minimum of 3 views",15033.0,30.559715769833335,150
Clinical Laboratory,Ldl cholesterol level,135867.0,10.370328425730767,104
Diagnostic Radiology,Ct scan of middle spine without contrast,52649.0,40.2702323103915,1942
Diagnostic Radiology,Ultrasound scan of chest,12651.0,22.78143527848115,441
Internal Medicine,"Complex chronic care management services for two or more chronic conditions, each additional 60 minutes of clinical staff time directed by health care professional, per calendar month",68717.0,53.60865975414598,134
Diagnostic Radiology,Ct scan of arm without contrast,24503.0,61.812595556693914,860
Medical Oncology,"Injection, iron sucrose, 1 mg",1412663.0,0.16083956700970872,103
Family Practice,"Annual alcohol misuse screening, 15 minutes",165359.0,18.837020044530956,1595
Medical Oncology,"Administration of chemotherapy into vein, each additional hour",34179.0,23.703651043853743,294
Diagnostic Radiology,Ct scan of abdomen before and after contrast,11862.0,111.51682708242807,573
Family Practice,"Influenza vaccine, quadrivalent, 0.5 ml dosage",18147.0,19.76351575792698,471
Internal Medicine,Anticoagulant management of patient taking warfarin,37089.0,7.775950688415823,156
Internal Medicine,Testing of autonomic (sympathetic) nervous system function,10267.0,105.60028901497607,167
Internal Medicine,Hospital observation care on day of discharge,110731.0,56.583791006066896,3839
Internal Medicine,Prolonged office or other outpatient evaluation and management service(s) beyond the maximum required time of the primary procedure which has been selected using total time on the date of the primary service; each additional 15 minutes by the physician or,23573.0,26.439925244172883,230
Internal Medicine,Administration of pneumococcal vaccine,116337.0,30.995579850318205,4028
Diagnostic Radiology,Complete ultrasound of abdomen and pelvis artery and vein blood flow,19499.0,83.2843481915023,620
Hematology-Oncology,"Injection, diphenhydramine hcl, up to 50 mg",120645.0,0.8746802872739176,947
Diagnostic Radiology,"X-ray of sacrum and tailbone, minimum of 2 views",6119.0,14.603180966466434,270
Clinical Laboratory,Prolactin (milk producing hormone) level,48522.0,19.109360789896225,106
Internal Medicine,"Influenza vaccine, quadrivalent derived from recombinant dna",25721.0,59.20610022674635,477
Diagnostic Radiology,Review by radiologist of ct guidance for needle placement,25682.0,61.5241579991619,917
Diagnostic Radiology,Mri scan of arm joint without contrast,126769.0,97.27536819069897,1755
